PROVIDER_ID,ORGANIZATION_ID,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,ORGANIZATION_PHONE
02e93bd7-7b8d-3643-ad0b-0809d7c5a050,74ab949d-17ac-3309-83a0-13b4405c66aa,Ted955 Reilly981,M,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,1420,9783429781
7ab76d33-4639-3e2a-9a9a-d7a5c9d518e5,588f6ce6-b8db-3588-8189-29db2680a313,Tiffaney302 Brakus656,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,21302331,8576541550
f5657d8d-03ea-3407-9e70-a16fceae07ee,17a4bae5-8b64-34d7-8144-b428be027bd0,Olympia319 Ward668,F,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,15456406,5088451232
cfd9e0c1-de06-353c-bf0e-68fc8c730549,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,14533290,9784662000
d991ee2e-0ce4-37f6-9721-e279e2280ac8,d2284f74-b6da-3a15-9791-84cdf2db18fb,Fernande593 Mosciski958,F,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,25366039,5084950704
5c072f71-29c7-37bc-9119-fda0803b3b65,ae88fd02-4911-3625-9e97-85b626ed3b0b,Adolph80 Farrell962,M,GENERAL PRACTICE,476 VARNUM AVE,LOWELL,MA,18542122,9784583388
3104e85b-79b0-3d14-87b8-4959bce7530a,ab701a70-a658-340e-8f69-ee196a7d40c6,Bud153 Parisian75,M,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,16071728,5086947901
4876f9de-f52e-3911-8395-3069a5cf865a,8a2e2731-3240-39d1-b4f0-cad14200937d,Carter549 Ritchie586,M,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,27802465,6174194772
b2e1c72a-e283-3e21-aef6-e5364f4ca43b,52ecddd8-42f6-35cc-88a5-cf474c02fb49,Cecil300 Fahey393,M,GENERAL PRACTICE,94 OBERY STREET,PLYMOUTH,MA,23602130,5087479800
4f0e3bd3-4735-3491-adf6-cc8db75811a5,59d1f454-5701-3f71-8fe7-94f785e15062,Wilton999 Lesch175,M,GENERAL PRACTICE,57 OLD ROAD TO 9 ACRE CORNER,WEST CONCORD,MA,17423317,9783713400
